[14:13:06] [INFO ]  	
[14:13:06] [INFO ]  
[14:13:06] [INFO ]  ------------------------------------------
[14:13:06] [INFO ]  Single CV Measurement
[14:13:06] [INFO ]  ------------------------------------------
[14:13:06] [INFO ]  Multiple measurements of IV over a longer period.
[14:13:06] [INFO ]  	
[14:13:06] [INFO ]  Start date          : 2022/03/22 14:13:06
[14:13:06] [INFO ]  User                : silicon
[14:13:06] [INFO ]  Host                : HGC-PC
[14:13:06] [INFO ]  Identifier          : HPK_ProtoA_300042_HD_UR_1.4E16
[14:13:06] [INFO ]  Log will be stored to logs/HPK_ProtoA_300042_HD_UR_1.4E16/00_20220322_141306/log.txt
[14:13:06] [INFO ]  	
[14:13:06] [INFO ]  Initialising device.
[14:13:06] [INFO ]  KEITHLEY INSTRUMENTS INC.,MODEL 2410,0804779,C33   Mar 31 2015 09:32:39/A02  /F/H
[14:13:06] [INFO ]  Initialising device.
[14:13:06] [INFO ]  Agilent Technologies,E4980A,MY46310732,A.06.15
[14:13:07] [INFO ]  Measurement Settings:
[14:13:07] [INFO ]  Power Supply voltage limit:      2.10E+01 V
[14:13:07] [INFO ]  Power Supply current limit:      1.00E-03 A
[14:13:07] [INFO ]  LCR measurement voltage:         5.00E-01 V
[14:13:07] [INFO ]  Voltage Delay:                       3.00 s
[14:13:07] [INFO ]  	
[14:13:07] [INFO ]  	
[14:13:07] [INFO ]   Nominal Voltage [V]	 Measured Voltage [V]	Frequency [Hz]	Cp [F]	Cp_Err [F]	Rp [Ohm]	Rp_Err [Ohm]	Total Current [A]
[14:16:32] [INFO ]  -3.10E+02	-3.10E+02	1.00E+06	4.6048E-11	4.04E-15	2.34E+05	5.58E+02	-1.32E-04
[14:16:37] [INFO ]  -3.20E+02	-3.20E+02	1.00E+04	4.5433E-11	1.38E-14	7.69E+06	5.09E+04	-1.35E-04
[14:16:38] [INFO ]  -3.20E+02	-3.20E+02	1.00E+05	4.6091E-11	5.00E-16	3.06E+06	2.50E+03	-1.35E-04
[14:16:38] [INFO ]  -3.20E+02	-3.20E+02	1.00E+06	4.6045E-11	4.16E-15	2.35E+05	1.41E+03	-1.35E-04
[14:16:44] [INFO ]  -3.30E+02	-3.30E+02	1.00E+04	4.5440E-11	3.23E-14	7.71E+06	1.08E+05	-1.39E-04
[14:16:44] [INFO ]  -3.30E+02	-3.30E+02	1.00E+05	4.6091E-11	3.61E-16	3.06E+06	1.39E+03	-1.39E-04
[14:16:45] [INFO ]  -3.30E+02	-3.30E+02	1.00E+06	4.6045E-11	2.09E-15	2.35E+05	1.17E+03	-1.39E-04
[14:16:50] [INFO ]  -3.40E+02	-3.40E+02	1.00E+04	4.5435E-11	2.05E-14	7.71E+06	5.52E+04	-1.42E-04
[14:16:51] [INFO ]  -3.40E+02	-3.40E+02	1.00E+05	4.6091E-11	4.63E-16	3.06E+06	1.13E+03	-1.42E-04
[14:16:51] [INFO ]  -3.40E+02	-3.40E+02	1.00E+06	4.6042E-11	2.47E-15	2.34E+05	2.75E+02	-1.42E-04
[14:16:57] [INFO ]  -3.50E+02	-3.50E+02	1.00E+04	4.5432E-11	6.88E-15	7.73E+06	3.54E+04	-1.46E-04
[14:16:57] [INFO ]  -3.50E+02	-3.50E+02	1.00E+05	4.6091E-11	1.96E-16	3.07E+06	2.69E+03	-1.46E-04
[14:16:58] [INFO ]  -3.50E+02	-3.50E+02	1.00E+06	4.6044E-11	4.46E-15	2.35E+05	7.10E+02	-1.46E-04
[14:17:03] [INFO ]  -3.60E+02	-3.60E+02	1.00E+04	4.5437E-11	1.26E-14	7.76E+06	4.44E+04	-1.49E-04
[14:17:04] [INFO ]  -3.60E+02	-3.60E+02	1.00E+05	4.6090E-11	3.87E-16	3.07E+06	3.11E+03	-1.49E-04
[14:17:04] [INFO ]  -3.60E+02	-3.60E+02	1.00E+06	4.6043E-11	2.06E-15	2.35E+05	1.14E+03	-1.49E-04
[14:17:10] [INFO ]  -3.70E+02	-3.70E+02	1.00E+04	4.5435E-11	8.81E-15	7.72E+06	6.99E+04	-1.53E-04
[14:17:11] [INFO ]  -3.70E+02	-3.70E+02	1.00E+05	4.6090E-11	6.21E-16	3.08E+06	3.88E+03	-1.53E-04
[14:17:11] [INFO ]  -3.70E+02	-3.70E+02	1.00E+06	4.6041E-11	2.82E-15	2.35E+05	1.46E+03	-1.53E-04
[14:17:17] [INFO ]  -3.80E+02	-3.80E+02	1.00E+04	4.5435E-11	1.32E-14	7.74E+06	3.32E+04	-1.57E-04
[14:17:17] [INFO ]  -3.80E+02	-3.80E+02	1.00E+05	4.6091E-11	1.90E-16	3.08E+06	3.30E+03	-1.57E-04
