# Interpad C
# 
# Measurement Settings:
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# Voltage Delay:                       3.00 s
# 
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Frequency [Hz]	Cp [F]	Cp_Err [F]	Rp [Ohm]	Rp_Err [Ohm]	Total Current [A]
-2.90000E+02	-2.89954E+02	1.00000E+05	4.60939E-11	4.24264E-16	3.04870E+06	2.56821E+03	-1.25197E-04
-2.90000E+02	-2.89954E+02	1.00000E+06	4.60484E-11	4.33710E-15	2.33843E+05	1.67430E+03	-1.25197E-04
-3.00000E+02	-2.99943E+02	1.00000E+04	4.54337E-11	2.74804E-14	7.67945E+06	3.34771E+04	-1.28608E-04
-3.00000E+02	-2.99943E+02	1.00000E+05	4.60935E-11	2.89828E-16	3.04951E+06	2.81861E+03	-1.28608E-04
-3.00000E+02	-2.99943E+02	1.00000E+06	4.60446E-11	5.22394E-15	2.33649E+05	1.09115E+03	-1.28608E-04
-3.10000E+02	-3.09953E+02	1.00000E+04	4.54274E-11	2.24915E-14	7.63914E+06	5.62145E+04	-1.31957E-04
-3.10000E+02	-3.09953E+02	1.00000E+05	4.60921E-11	2.24499E-16	3.05362E+06	1.79251E+03	-1.31957E-04
-3.10000E+02	-3.09953E+02	1.00000E+06	4.60477E-11	4.03980E-15	2.34068E+05	5.57613E+02	-1.31957E-04
-3.20000E+02	-3.19963E+02	1.00000E+04	4.54328E-11	1.38238E-14	7.68505E+06	5.08909E+04	-1.35368E-04
-3.20000E+02	-3.19963E+02	1.00000E+05	4.60909E-11	5.00400E-16	3.05751E+06	2.49946E+03	-1.35368E-04
-3.20000E+02	-3.19963E+02	1.00000E+06	4.60448E-11	4.15885E-15	2.35159E+05	1.41285E+03	-1.35368E-04
-3.30000E+02	-3.29973E+02	1.00000E+04	4.54401E-11	3.23191E-14	7.70768E+06	1.08181E+05	-1.38759E-04
-3.30000E+02	-3.29973E+02	1.00000E+05	4.60911E-11	3.61109E-16	3.06120E+06	1.38790E+03	-1.38759E-04
-3.30000E+02	-3.29973E+02	1.00000E+06	4.60451E-11	2.08864E-15	2.34945E+05	1.17310E+03	-1.38759E-04
-3.40000E+02	-3.39958E+02	1.00000E+04	4.54348E-11	2.04603E-14	7.70774E+06	5.51887E+04	-1.42340E-04
-3.40000E+02	-3.39958E+02	1.00000E+05	4.60910E-11	4.63033E-16	3.06246E+06	1.13251E+03	-1.42340E-04
-3.40000E+02	-3.39958E+02	1.00000E+06	4.60416E-11	2.47176E-15	2.34323E+05	2.74567E+02	-1.42340E-04
-3.50000E+02	-3.49966E+02	1.00000E+04	4.54316E-11	6.87663E-15	7.72854E+06	3.53753E+04	-1.45819E-04
-3.50000E+02	-3.49966E+02	1.00000E+05	4.60910E-11	1.95959E-16	3.06850E+06	2.68819E+03	-1.45819E-04
-3.50000E+02	-3.49966E+02	1.00000E+06	4.60438E-11	4.46390E-15	2.34720E+05	7.09866E+02	-1.45819E-04
-3.60000E+02	-3.59976E+02	1.00000E+04	4.54371E-11	1.26091E-14	7.76439E+06	4.43605E+04	-1.49335E-04
-3.60000E+02	-3.59976E+02	1.00000E+05	4.60902E-11	3.86782E-16	3.07066E+06	3.11373E+03	-1.49335E-04
-3.60000E+02	-3.59976E+02	1.00000E+06	4.60433E-11	2.05757E-15	2.34812E+05	1.14242E+03	-1.49335E-04
-3.70000E+02	-3.69966E+02	1.00000E+04	4.54353E-11	8.80513E-15	7.71541E+06	6.98612E+04	-1.52837E-04
-3.70000E+02	-3.69966E+02	1.00000E+05	4.60903E-11	6.20967E-16	3.07836E+06	3.88277E+03	-1.52837E-04
-3.70000E+02	-3.69966E+02	1.00000E+06	4.60414E-11	2.81922E-15	2.34691E+05	1.45925E+03	-1.52837E-04
-3.80000E+02	-3.79973E+02	1.00000E+04	4.54355E-11	1.31792E-14	7.73947E+06	3.32465E+04	-1.56580E-04
-3.80000E+02	-3.79973E+02	1.00000E+05	4.60909E-11	1.89737E-16	3.07766E+06	3.30272E+03	-1.56580E-04
-3.80000E+02	-3.79973E+02	1.00000E+06	4.60460E-11	3.97019E-15	2.34751E+05	8.36601E+02	-1.56580E-04
-3.90000E+02	-3.89980E+02	1.00000E+04	4.54334E-11	9.09866E-15	7.75505E+06	6.21855E+04	-1.60232E-04
-3.90000E+02	-3.89980E+02	1.00000E+05	4.60899E-11	3.13688E-16	3.07520E+06	2.56394E+03	-1.60232E-04
-3.90000E+02	-3.89980E+02	1.00000E+06	4.60441E-11	3.73599E-15	2.33408E+05	8.77171E+02	-1.60232E-04
-4.00000E+02	-3.99971E+02	1.00000E+04	4.54370E-11	9.38232E-15	7.73493E+06	3.92309E+04	-1.64115E-04
-4.00000E+02	-3.99971E+02	1.00000E+05	4.60897E-11	3.26190E-16	3.07554E+06	2.14326E+03	-1.64115E-04
-4.00000E+02	-3.99971E+02	1.00000E+06	4.60428E-11	2.23195E-15	2.34916E+05	1.04239E+03	-1.64115E-04
-4.10000E+02	-4.09979E+02	1.00000E+04	4.54356E-11	1.33156E-14	7.76831E+06	8.06550E+04	-1.67980E-04
-4.10000E+02	-4.09979E+02	1.00000E+05	4.60896E-11	4.77493E-16	3.08280E+06	3.26988E+03	-1.67980E-04
-4.10000E+02	-4.09979E+02	1.00000E+06	4.60427E-11	4.34585E-15	2.34726E+05	7.87382E+02	-1.67980E-04
-4.20000E+02	-4.19983E+02	1.00000E+04	4.54400E-11	1.45407E-14	7.77327E+06	3.94367E+04	-1.71894E-04
-4.20000E+02	-4.19983E+02	1.00000E+05	4.60899E-11	4.66476E-16	3.08363E+06	2.80911E+03	-1.71894E-04
-4.20000E+02	-4.19983E+02	1.00000E+06	4.60452E-11	3.27988E-15	2.34565E+05	6.28650E+02	-1.71894E-04
-4.30000E+02	-4.29974E+02	1.00000E+04	4.54384E-11	1.19393E-14	7.78470E+06	4.03954E+04	-1.75885E-04
-4.30000E+02	-4.29974E+02	1.00000E+05	4.60895E-11	3.55528E-16	3.08381E+06	3.25319E+03	-1.75885E-04
-4.30000E+02	-4.29974E+02	1.00000E+06	4.60412E-11	3.90763E-15	2.35425E+05	7.12999E+02	-1.75885E-04
-4.40000E+02	-4.39981E+02	1.00000E+04	4.54489E-11	8.29520E-15	7.76936E+06	5.62680E+04	-1.80045E-04
-4.40000E+02	-4.39981E+02	1.00000E+05	4.60896E-11	6.33719E-16	3.08338E+06	1.27330E+03	-1.80045E-04
-4.40000E+02	-4.39981E+02	1.00000E+06	4.60426E-11	3.08830E-15	2.34827E+05	8.92021E+02	-1.80045E-04
-4.50000E+02	-4.49990E+02	1.00000E+04	4.54377E-11	7.50483E-15	7.76254E+06	2.11857E+04	-1.84086E-04
-4.50000E+02	-4.49990E+02	1.00000E+05	4.60896E-11	4.85798E-16	3.08719E+06	3.87735E+03	-1.84086E-04
