# Single CV
# 
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# LCR measurement frequency:       1.00E+03 Hz
# Voltage Delay:                       3.00 s
# 
# 
# 
# Nominal Voltage [V]	 Measured Voltage [V]	Freq [Hz]	R [Ohm]	R_Err [Ohm]	X [Ohm]	X_Err [Ohm]	Cs [F]	Cp [F]	Total Current [A]
-3.20000E+02	-3.19972E+02	1.00000E+03	5.05223E+03	1.37858E+02	-3.64731E+06	7.05408E+01	4.36363E-11	4.36362E-11	-8.00931E-05
-3.20000E+02	-3.19972E+02	1.00000E+04	2.32339E+02	1.36624E+00	-3.65130E+05	1.60000E+00	4.35886E-11	4.35886E-11	-8.00931E-05
-3.30000E+02	-3.29982E+02	5.00000E+02	1.75661E+04	7.85349E+02	-7.29127E+06	8.45775E+02	4.36563E-11	4.36561E-11	-8.21611E-05
-3.30000E+02	-3.29982E+02	1.00000E+03	5.05101E+03	8.60557E+01	-3.64728E+06	1.06508E+02	4.36366E-11	4.36365E-11	-8.21611E-05
-3.30000E+02	-3.29982E+02	1.00000E+04	2.32481E+02	2.40744E+00	-3.65128E+05	2.31517E+00	4.35888E-11	4.35888E-11	-8.21611E-05
-3.40000E+02	-3.39969E+02	5.00000E+02	1.70483E+04	9.27959E+02	-7.29125E+06	5.27386E+02	4.36564E-11	4.36562E-11	-8.42470E-05
-3.40000E+02	-3.39969E+02	1.00000E+03	5.05086E+03	3.71801E+01	-3.64724E+06	1.41478E+02	4.36371E-11	4.36370E-11	-8.42470E-05
-3.40000E+02	-3.39969E+02	1.00000E+04	2.33269E+02	7.30745E-01	-3.65129E+05	6.32456E-01	4.35887E-11	4.35887E-11	-8.42470E-05
-3.50000E+02	-3.49978E+02	5.00000E+02	1.69902E+04	9.38062E+02	-7.29155E+06	1.04275E+03	4.36546E-11	4.36544E-11	-8.63450E-05
-3.50000E+02	-3.49978E+02	1.00000E+03	4.99845E+03	4.28108E+01	-3.64734E+06	1.07070E+02	4.36358E-11	4.36358E-11	-8.63450E-05
-3.50000E+02	-3.49978E+02	1.00000E+04	2.33935E+02	7.26056E-01	-3.65129E+05	1.35647E+00	4.35887E-11	4.35887E-11	-8.63450E-05
-3.60000E+02	-3.59989E+02	5.00000E+02	1.74348E+04	1.11785E+03	-7.29203E+06	4.50049E+02	4.36518E-11	4.36515E-11	-8.85195E-05
-3.60000E+02	-3.59989E+02	1.00000E+03	4.93388E+03	8.91532E+01	-3.64739E+06	6.37495E+01	4.36353E-11	4.36353E-11	-8.85195E-05
-3.60000E+02	-3.59989E+02	1.00000E+04	2.33154E+02	1.48049E+00	-3.65131E+05	1.16619E+00	4.35884E-11	4.35884E-11	-8.85195E-05
-3.70000E+02	-3.69979E+02	5.00000E+02	1.75083E+04	3.76831E+02	-7.29059E+06	7.97386E+02	4.36604E-11	4.36601E-11	-9.07133E-05
