[14:44:30] [INFO ]  	
[14:44:30] [INFO ]  
[14:44:30] [INFO ]  ------------------------------------------
[14:44:30] [INFO ]  Single CV Measurement
[14:44:30] [INFO ]  ------------------------------------------
[14:44:30] [INFO ]  Measurement of C-V curve for a single cell on the wafer.
[14:44:30] [INFO ]  	
[14:44:30] [INFO ]  Start date          : 2022/03/22 14:44:30
[14:44:30] [INFO ]  User                : silicon
[14:44:30] [INFO ]  Host                : HGC-PC
[14:44:30] [INFO ]  Identifier          : HPK_ProtoA_300042_HD_UR_1.4E16_CV_open
[14:44:30] [INFO ]  Log will be stored to logs/HPK_ProtoA_300042_HD_UR_1.4E16_CV_open/01_20220322_144430/log.txt
[14:44:30] [INFO ]  	
[14:44:30] [INFO ]  Initialising device.
[14:44:30] [INFO ]  KEITHLEY INSTRUMENTS INC.,MODEL 2410,0804779,C33   Mar 31 2015 09:32:39/A02  /F/H
[14:44:30] [INFO ]  Initialising device.
[14:44:30] [INFO ]  Agilent Technologies,E4980A,MY46310732,A.06.15
[14:44:31] [INFO ]  Power Supply voltage limit:      2.10E+01 V
[14:44:31] [INFO ]  Power Supply current limit:      1.00E-03 A
[14:44:31] [INFO ]  LCR measurement voltage:         5.00E-01 V
[14:44:31] [INFO ]  LCR measurement frequency:       1.00E+03 Hz
[14:44:31] [INFO ]  Voltage Delay:                       3.00 s
[14:44:31] [INFO ]  	
[14:44:31] [INFO ]  	
[14:44:31] [INFO ]  Nominal Voltage [V]	 Measured Voltage [V]	Freq [Hz]	R [Ohm]	R_Err [Ohm]	X [Ohm]	X_Err [Ohm]	Cs [F]	Cp [F]	Total Current [A]
[14:49:08] [INFO ]  -3.20E+02	-3.20E+02	5.00E+02	1.70E+04	8.96E+02	-7.29E+06	7.75E+02	4.365E-11	4.365E-11	-8.01E-05
[14:49:10] [INFO ]  -3.20E+02	-3.20E+02	1.00E+03	5.05E+03	1.38E+02	-3.65E+06	7.05E+01	4.364E-11	4.364E-11	-8.01E-05
[14:49:11] [INFO ]  -3.20E+02	-3.20E+02	1.00E+04	2.32E+02	1.37E+00	-3.65E+05	1.60E+00	4.359E-11	4.359E-11	-8.01E-05
[14:49:17] [INFO ]  -3.30E+02	-3.30E+02	5.00E+02	1.76E+04	7.85E+02	-7.29E+06	8.46E+02	4.366E-11	4.366E-11	-8.22E-05
[14:49:19] [INFO ]  -3.30E+02	-3.30E+02	1.00E+03	5.05E+03	8.61E+01	-3.65E+06	1.07E+02	4.364E-11	4.364E-11	-8.22E-05
[14:49:20] [INFO ]  -3.30E+02	-3.30E+02	1.00E+04	2.32E+02	2.41E+00	-3.65E+05	2.32E+00	4.359E-11	4.359E-11	-8.22E-05
[14:49:26] [INFO ]  -3.40E+02	-3.40E+02	5.00E+02	1.70E+04	9.28E+02	-7.29E+06	5.27E+02	4.366E-11	4.366E-11	-8.42E-05
[14:49:27] [INFO ]  -3.40E+02	-3.40E+02	1.00E+03	5.05E+03	3.72E+01	-3.65E+06	1.41E+02	4.364E-11	4.364E-11	-8.42E-05
[14:49:29] [INFO ]  -3.40E+02	-3.40E+02	1.00E+04	2.33E+02	7.31E-01	-3.65E+05	6.32E-01	4.359E-11	4.359E-11	-8.42E-05
[14:49:35] [INFO ]  -3.50E+02	-3.50E+02	5.00E+02	1.70E+04	9.38E+02	-7.29E+06	1.04E+03	4.365E-11	4.365E-11	-8.63E-05
[14:49:36] [INFO ]  -3.50E+02	-3.50E+02	1.00E+03	5.00E+03	4.28E+01	-3.65E+06	1.07E+02	4.364E-11	4.364E-11	-8.63E-05
[14:49:37] [INFO ]  -3.50E+02	-3.50E+02	1.00E+04	2.34E+02	7.26E-01	-3.65E+05	1.36E+00	4.359E-11	4.359E-11	-8.63E-05
[14:49:43] [INFO ]  -3.60E+02	-3.60E+02	5.00E+02	1.74E+04	1.12E+03	-7.29E+06	4.50E+02	4.365E-11	4.365E-11	-8.85E-05
[14:49:45] [INFO ]  -3.60E+02	-3.60E+02	1.00E+03	4.93E+03	8.92E+01	-3.65E+06	6.37E+01	4.364E-11	4.364E-11	-8.85E-05
[14:49:46] [INFO ]  -3.60E+02	-3.60E+02	1.00E+04	2.33E+02	1.48E+00	-3.65E+05	1.17E+00	4.359E-11	4.359E-11	-8.85E-05
[14:49:52] [INFO ]  -3.70E+02	-3.70E+02	5.00E+02	1.75E+04	3.77E+02	-7.29E+06	7.97E+02	4.366E-11	4.366E-11	-9.07E-05
[14:49:53] [INFO ]  -3.70E+02	-3.70E+02	1.00E+03	4.97E+03	7.58E+01	-3.65E+06	1.21E+02	4.364E-11	4.364E-11	-9.07E-05
[14:49:55] [INFO ]  -3.70E+02	-3.70E+02	1.00E+04	2.33E+02	1.88E+00	-3.65E+05	1.02E+00	4.359E-11	4.359E-11	-9.07E-05
[14:50:01] [INFO ]  -3.80E+02	-3.80E+02	5.00E+02	1.67E+04	8.95E+02	-7.29E+06	5.57E+02	4.365E-11	4.365E-11	-9.29E-05
[14:50:02] [INFO ]  -3.80E+02	-3.80E+02	1.00E+03	4.97E+03	1.11E+02	-3.65E+06	1.10E+02	4.364E-11	4.364E-11	-9.29E-05
