# Interpad C
# 
# Measurement Settings:
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# Voltage Delay:                       3.00 s
# 
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Frequency [Hz]	Cp [F]	Cp_Err [F]	Rp [Ohm]	Rp_Err [Ohm]	Total Current [A]
-2.70000E+02	-2.69944E+02	1.00000E+04	4.42959E-11	4.41153E-15	3.35217E+07	8.62874E+05	-7.28622E-05
-2.70000E+02	-2.69944E+02	1.00000E+05	4.48275E-11	1.01980E-16	4.19315E+06	1.23918E+03	-7.28622E-05
-2.70000E+02	-2.69944E+02	1.00000E+06	4.47358E-11	6.54217E-16	2.27372E+05	7.58324E+01	-7.28622E-05
-2.80000E+02	-2.79952E+02	1.00000E+04	4.42983E-11	8.76867E-15	3.41317E+07	6.74452E+05	-7.49981E-05
-2.80000E+02	-2.79952E+02	1.00000E+05	4.48276E-11	1.62481E-16	4.19350E+06	1.37736E+03	-7.49981E-05
-2.80000E+02	-2.79952E+02	1.00000E+06	4.47357E-11	7.33757E-16	2.27354E+05	1.15481E+02	-7.49981E-05
-2.90000E+02	-2.89962E+02	1.00000E+04	4.42944E-11	3.63670E-15	3.41143E+07	4.34707E+05	-7.71410E-05
-2.90000E+02	-2.89962E+02	1.00000E+05	4.48274E-11	4.00000E-17	4.19296E+06	1.18008E+03	-7.71410E-05
-2.90000E+02	-2.89962E+02	1.00000E+06	4.47358E-11	5.62139E-16	2.27350E+05	1.17794E+02	-7.71410E-05
-3.00000E+02	-2.99950E+02	1.00000E+04	4.42967E-11	5.93990E-15	3.40205E+07	4.33704E+05	-7.92996E-05
-3.00000E+02	-2.99950E+02	1.00000E+05	4.48273E-11	8.00000E-17	4.19367E+06	1.52780E+03	-7.92996E-05
-3.00000E+02	-2.99950E+02	1.00000E+06	4.47357E-11	6.46838E-16	2.27355E+05	8.83117E+01	-7.92996E-05
-3.10000E+02	-3.09962E+02	1.00000E+04	4.42906E-11	5.75694E-15	3.40448E+07	8.34934E+05	-8.14679E-05
-3.10000E+02	-3.09962E+02	1.00000E+05	4.48273E-11	1.46969E-16	4.19362E+06	6.21386E+02	-8.14679E-05
-3.10000E+02	-3.09962E+02	1.00000E+06	4.47361E-11	4.11825E-16	2.27414E+05	9.63460E+01	-8.14679E-05
-3.20000E+02	-3.19970E+02	1.00000E+04	4.42924E-11	7.21293E-15	3.41192E+07	5.93896E+05	-8.36645E-05
-3.20000E+02	-3.19970E+02	1.00000E+05	4.48275E-11	8.00000E-17	4.19458E+06	1.51308E+03	-8.36645E-05
-3.20000E+02	-3.19970E+02	1.00000E+06	4.47358E-11	7.22772E-16	2.27427E+05	9.20574E+01	-8.36645E-05
-3.30000E+02	-3.29981E+02	1.00000E+04	4.42929E-11	8.89863E-15	3.45792E+07	9.01703E+05	-8.59072E-05
-3.30000E+02	-3.29981E+02	1.00000E+05	4.48276E-11	1.74356E-16	4.19275E+06	1.15319E+03	-8.59072E-05
-3.30000E+02	-3.29981E+02	1.00000E+06	4.47357E-11	6.85857E-16	2.27394E+05	8.03617E+01	-8.59072E-05
-3.40000E+02	-3.39967E+02	1.00000E+04	4.42926E-11	5.14642E-15	3.45154E+07	1.02268E+06	-8.81854E-05
-3.40000E+02	-3.39967E+02	1.00000E+05	4.48276E-11	9.79796E-17	4.19184E+06	1.06445E+03	-8.81854E-05
-3.40000E+02	-3.39967E+02	1.00000E+06	4.47359E-11	4.83322E-16	2.27398E+05	1.03471E+02	-8.81854E-05
-3.50000E+02	-3.49977E+02	1.00000E+04	4.42974E-11	1.08741E-14	3.46771E+07	2.52245E+05	-9.04654E-05
-3.50000E+02	-3.49977E+02	1.00000E+05	4.48274E-11	1.62481E-16	4.19410E+06	1.40487E+03	-9.04654E-05
-3.50000E+02	-3.49977E+02	1.00000E+06	4.47358E-11	3.48712E-16	2.27400E+05	1.24111E+02	-9.04654E-05
-3.60000E+02	-3.59986E+02	1.00000E+04	4.42921E-11	1.09955E-14	3.48904E+07	9.20721E+05	-9.28089E-05
-3.60000E+02	-3.59986E+02	1.00000E+05	4.48274E-11	1.35647E-16	4.19196E+06	8.58030E+02	-9.28089E-05
-3.60000E+02	-3.59986E+02	1.00000E+06	4.47359E-11	6.43117E-16	2.27442E+05	1.49288E+02	-9.28089E-05
-3.70000E+02	-3.69977E+02	1.00000E+04	4.42951E-11	1.21850E-14	3.38734E+07	5.92656E+05	-9.52455E-05
-3.70000E+02	-3.69977E+02	1.00000E+05	4.48274E-11	1.16619E-16	4.19361E+06	1.97363E+03	-9.52455E-05
-3.70000E+02	-3.69977E+02	1.00000E+06	4.47359E-11	7.22219E-16	2.27460E+05	1.01983E+02	-9.52455E-05
-3.80000E+02	-3.79985E+02	1.00000E+04	4.42979E-11	1.02602E-14	3.50749E+07	7.74684E+05	-9.77085E-05
-3.80000E+02	-3.79985E+02	1.00000E+05	4.48275E-11	1.74356E-16	4.19293E+06	1.69957E+03	-9.77085E-05
-3.80000E+02	-3.79985E+02	1.00000E+06	4.47359E-11	5.65685E-16	2.27480E+05	5.95933E+01	-9.77085E-05
-3.90000E+02	-3.89993E+02	1.00000E+04	4.42958E-11	1.61141E-14	3.41228E+07	3.99064E+05	-1.00125E-04
-3.90000E+02	-3.89993E+02	1.00000E+05	4.48275E-11	1.46969E-16	4.19293E+06	1.83059E+03	-1.00125E-04
-3.90000E+02	-3.89993E+02	1.00000E+06	4.47359E-11	4.96387E-16	2.27472E+05	1.54193E+02	-1.00125E-04
-4.00000E+02	-3.99972E+02	1.00000E+04	4.43219E-11	1.05441E-14	3.53657E+07	1.33962E+06	-1.02654E-04
-4.00000E+02	-3.99972E+02	1.00000E+05	4.48273E-11	2.41661E-16	4.19383E+06	6.62341E+02	-1.02654E-04
-4.00000E+02	-3.99972E+02	1.00000E+06	4.47360E-11	5.11468E-16	2.27507E+05	5.21789E+01	-1.02654E-04
-4.10000E+02	-4.09979E+02	1.00000E+04	4.43362E-11	1.43423E-14	3.47492E+07	3.88416E+05	-1.05262E-04
-4.10000E+02	-4.09979E+02	1.00000E+05	4.48273E-11	1.16619E-16	4.19081E+06	2.27975E+03	-1.05262E-04
-4.10000E+02	-4.09979E+02	1.00000E+06	4.47358E-11	5.57136E-16	2.27460E+05	6.20741E+01	-1.05262E-04
-4.20000E+02	-4.19982E+02	1.00000E+04	4.43307E-11	1.24223E-14	3.44977E+07	8.79836E+05	-1.08065E-04
-4.20000E+02	-4.19982E+02	1.00000E+05	4.48276E-11	2.48193E-16	4.19261E+06	1.44658E+03	-1.08065E-04
-4.20000E+02	-4.19982E+02	1.00000E+06	4.47357E-11	6.43117E-16	2.27412E+05	8.50891E+01	-1.08065E-04
-4.30000E+02	-4.29972E+02	1.00000E+04	4.43334E-11	1.79926E-14	3.50042E+07	7.71669E+05	-1.10889E-04
-4.30000E+02	-4.29972E+02	1.00000E+05	4.48272E-11	1.89737E-16	4.19085E+06	2.11537E+03	-1.10889E-04
-4.30000E+02	-4.29972E+02	1.00000E+06	4.47359E-11	3.28634E-16	2.27421E+05	6.32582E+01	-1.10889E-04
-4.40000E+02	-4.39979E+02	1.00000E+04	4.43286E-11	7.63167E-15	3.46461E+07	1.01242E+06	-1.13691E-04
-4.40000E+02	-4.39979E+02	1.00000E+05	4.48274E-11	1.32665E-16	4.19036E+06	7.67557E+02	-1.13691E-04
-4.40000E+02	-4.39979E+02	1.00000E+06	4.47359E-11	5.89915E-16	2.27439E+05	1.01517E+02	-1.13691E-04
