[14:27:35] [INFO ]  	
[14:27:35] [INFO ]  
[14:27:35] [INFO ]  ------------------------------------------
[14:27:35] [INFO ]  Single CV Measurement
[14:27:35] [INFO ]  ------------------------------------------
[14:27:35] [INFO ]  Multiple measurements of IV over a longer period.
[14:27:35] [INFO ]  	
[14:27:35] [INFO ]  Start date          : 2022/03/22 14:27:35
[14:27:35] [INFO ]  User                : silicon
[14:27:35] [INFO ]  Host                : HGC-PC
[14:27:35] [INFO ]  Identifier          : HPK_ProtoA_300042_HD_UR_1.4E16_CV_open
[14:27:35] [INFO ]  Log will be stored to logs/HPK_ProtoA_300042_HD_UR_1.4E16_CV_open/00_20220322_142735/log.txt
[14:27:35] [INFO ]  	
[14:27:35] [INFO ]  Initialising device.
[14:27:35] [INFO ]  KEITHLEY INSTRUMENTS INC.,MODEL 2410,0804779,C33   Mar 31 2015 09:32:39/A02  /F/H
[14:27:35] [INFO ]  Initialising device.
[14:27:35] [INFO ]  Agilent Technologies,E4980A,MY46310732,A.06.15
[14:27:36] [INFO ]  Measurement Settings:
[14:27:36] [INFO ]  Power Supply voltage limit:      2.10E+01 V
[14:27:36] [INFO ]  Power Supply current limit:      1.00E-03 A
[14:27:36] [INFO ]  LCR measurement voltage:         5.00E-01 V
[14:27:36] [INFO ]  Voltage Delay:                       3.00 s
[14:27:36] [INFO ]  	
[14:27:36] [INFO ]  	
[14:27:36] [INFO ]   Nominal Voltage [V]	 Measured Voltage [V]	Frequency [Hz]	Cp [F]	Cp_Err [F]	Rp [Ohm]	Rp_Err [Ohm]	Total Current [A]
[14:31:21] [INFO ]  -3.40E+02	-3.40E+02	1.00E+04	4.4293E-11	5.15E-15	3.45E+07	1.02E+06	-8.82E-05
[14:31:21] [INFO ]  -3.40E+02	-3.40E+02	1.00E+05	4.4828E-11	9.80E-17	4.19E+06	1.06E+03	-8.82E-05
[14:31:22] [INFO ]  -3.40E+02	-3.40E+02	1.00E+06	4.4736E-11	4.83E-16	2.27E+05	1.03E+02	-8.82E-05
[14:31:27] [INFO ]  -3.50E+02	-3.50E+02	1.00E+04	4.4297E-11	1.09E-14	3.47E+07	2.52E+05	-9.05E-05
[14:31:28] [INFO ]  -3.50E+02	-3.50E+02	1.00E+05	4.4827E-11	1.62E-16	4.19E+06	1.40E+03	-9.05E-05
[14:31:28] [INFO ]  -3.50E+02	-3.50E+02	1.00E+06	4.4736E-11	3.49E-16	2.27E+05	1.24E+02	-9.05E-05
[14:31:34] [INFO ]  -3.60E+02	-3.60E+02	1.00E+04	4.4292E-11	1.10E-14	3.49E+07	9.21E+05	-9.28E-05
[14:31:34] [INFO ]  -3.60E+02	-3.60E+02	1.00E+05	4.4827E-11	1.36E-16	4.19E+06	8.58E+02	-9.28E-05
[14:31:35] [INFO ]  -3.60E+02	-3.60E+02	1.00E+06	4.4736E-11	6.43E-16	2.27E+05	1.49E+02	-9.28E-05
[14:31:40] [INFO ]  -3.70E+02	-3.70E+02	1.00E+04	4.4295E-11	1.22E-14	3.39E+07	5.93E+05	-9.52E-05
[14:31:41] [INFO ]  -3.70E+02	-3.70E+02	1.00E+05	4.4827E-11	1.17E-16	4.19E+06	1.97E+03	-9.52E-05
[14:31:41] [INFO ]  -3.70E+02	-3.70E+02	1.00E+06	4.4736E-11	7.22E-16	2.27E+05	1.02E+02	-9.52E-05
[14:31:47] [INFO ]  -3.80E+02	-3.80E+02	1.00E+04	4.4298E-11	1.03E-14	3.51E+07	7.75E+05	-9.77E-05
[14:31:48] [INFO ]  -3.80E+02	-3.80E+02	1.00E+05	4.4828E-11	1.74E-16	4.19E+06	1.70E+03	-9.77E-05
[14:31:48] [INFO ]  -3.80E+02	-3.80E+02	1.00E+06	4.4736E-11	5.66E-16	2.27E+05	5.96E+01	-9.77E-05
[14:31:54] [INFO ]  -3.90E+02	-3.90E+02	1.00E+04	4.4296E-11	1.61E-14	3.41E+07	3.99E+05	-1.00E-04
[14:31:54] [INFO ]  -3.90E+02	-3.90E+02	1.00E+05	4.4827E-11	1.47E-16	4.19E+06	1.83E+03	-1.00E-04
[14:31:55] [INFO ]  -3.90E+02	-3.90E+02	1.00E+06	4.4736E-11	4.96E-16	2.27E+05	1.54E+02	-1.00E-04
[14:32:00] [INFO ]  -4.00E+02	-4.00E+02	1.00E+04	4.4322E-11	1.05E-14	3.54E+07	1.34E+06	-1.03E-04
[14:32:01] [INFO ]  -4.00E+02	-4.00E+02	1.00E+05	4.4827E-11	2.42E-16	4.19E+06	6.62E+02	-1.03E-04
[14:32:01] [INFO ]  -4.00E+02	-4.00E+02	1.00E+06	4.4736E-11	5.11E-16	2.28E+05	5.22E+01	-1.03E-04
[14:32:07] [INFO ]  -4.10E+02	-4.10E+02	1.00E+04	4.4336E-11	1.43E-14	3.47E+07	3.88E+05	-1.05E-04
[14:32:07] [INFO ]  -4.10E+02	-4.10E+02	1.00E+05	4.4827E-11	1.17E-16	4.19E+06	2.28E+03	-1.05E-04
[14:32:08] [INFO ]  -4.10E+02	-4.10E+02	1.00E+06	4.4736E-11	5.57E-16	2.27E+05	6.21E+01	-1.05E-04
[14:32:13] [INFO ]  -4.20E+02	-4.20E+02	1.00E+04	4.4331E-11	1.24E-14	3.45E+07	8.80E+05	-1.08E-04
[14:32:14] [INFO ]  -4.20E+02	-4.20E+02	1.00E+05	4.4828E-11	2.48E-16	4.19E+06	1.45E+03	-1.08E-04
[14:32:14] [INFO ]  -4.20E+02	-4.20E+02	1.00E+06	4.4736E-11	6.43E-16	2.27E+05	8.51E+01	-1.08E-04
[14:32:20] [INFO ]  -4.30E+02	-4.30E+02	1.00E+04	4.4333E-11	1.80E-14	3.50E+07	7.72E+05	-1.11E-04
[14:32:20] [INFO ]  -4.30E+02	-4.30E+02	1.00E+05	4.4827E-11	1.90E-16	4.19E+06	2.12E+03	-1.11E-04
[14:32:21] [INFO ]  -4.30E+02	-4.30E+02	1.00E+06	4.4736E-11	3.29E-16	2.27E+05	6.33E+01	-1.11E-04
[14:32:27] [INFO ]  -4.40E+02	-4.40E+02	1.00E+04	4.4329E-11	7.63E-15	3.46E+07	1.01E+06	-1.14E-04
[14:32:27] [INFO ]  -4.40E+02	-4.40E+02	1.00E+05	4.4827E-11	1.33E-16	4.19E+06	7.68E+02	-1.14E-04
[14:32:28] [INFO ]  -4.40E+02	-4.40E+02	1.00E+06	4.4736E-11	5.90E-16	2.27E+05	1.02E+02	-1.14E-04
[14:32:33] [INFO ]  -4.50E+02	-4.50E+02	1.00E+04	4.4331E-11	1.10E-14	3.46E+07	1.07E+06	-1.17E-04
[14:32:34] [INFO ]  -4.50E+02	-4.50E+02	1.00E+05	4.4827E-11	2.06E-16	4.19E+06	1.06E+03	-1.17E-04
[14:32:34] [INFO ]  -4.50E+02	-4.50E+02	1.00E+06	4.4736E-11	4.53E-16	2.27E+05	9.26E+01	-1.17E-04
[14:32:40] [INFO ]  -4.60E+02	-4.60E+02	1.00E+04	4.4337E-11	7.57E-15	3.50E+07	9.04E+05	-1.20E-04
[14:32:41] [INFO ]  -4.60E+02	-4.60E+02	1.00E+05	4.4827E-11	1.26E-16	4.19E+06	7.45E+02	-1.20E-04
[14:32:41] [INFO ]  -4.60E+02	-4.60E+02	1.00E+06	4.4736E-11	4.07E-16	2.28E+05	1.11E+02	-1.20E-04
[14:32:47] [INFO ]  -4.70E+02	-4.70E+02	1.00E+04	4.4331E-11	9.31E-15	3.41E+07	1.13E+06	-1.23E-04
[14:32:47] [INFO ]  -4.70E+02	-4.70E+02	1.00E+05	4.4827E-11	1.41E-16	4.19E+06	1.42E+03	-1.23E-04
[14:32:48] [INFO ]  -4.70E+02	-4.70E+02	1.00E+06	4.4736E-11	5.71E-16	2.27E+05	8.64E+01	-1.23E-04
[14:32:53] [INFO ]  -4.80E+02	-4.80E+02	1.00E+04	4.4338E-11	1.44E-14	3.50E+07	7.15E+05	-1.26E-04
[14:32:54] [INFO ]  -4.80E+02	-4.80E+02	1.00E+05	4.4827E-11	1.94E-16	4.20E+06	1.70E+03	-1.26E-04
[14:32:54] [INFO ]  -4.80E+02	-4.80E+02	1.00E+06	4.4736E-11	5.43E-16	2.28E+05	1.13E+02	-1.26E-04
[14:33:00] [INFO ]  -4.90E+02	-4.90E+02	1.00E+04	4.4349E-11	1.56E-14	3.51E+07	4.76E+05	-1.29E-04
