# Interpad R
# 
# Measurement Settings:
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# Voltage Delay:                       2.00 s
# 
# 
# 
# Bias Voltage[V]	Interpad Voltage [V]	Interpad Current Mean [A]	Interpad Current Error [A]	Resistance (polynom fit) [Ohm]	Resistance (diff) [Ohm]	dR (fit) [Ohm]	Chi2 of Fit [-]	Total Current [A]	
-8.00000E+01	1.99998E+00	1.16048E-05	1.03387E-10	7.70301E+06	7.76397E+06	6.42232E+04	1.47051E+05	-5.14537E-05
-8.00000E+01	2.50002E+00	1.16706E-05	3.09121E-11	7.70301E+06	7.76397E+06	6.42232E+04	1.47051E+05	-5.14537E-05
-8.00000E+01	2.99994E+00	1.17352E-05	2.05480E-11	7.70301E+06	7.76397E+06	6.42232E+04	1.47051E+05	-5.14537E-05
-8.00000E+01	3.49995E+00	1.17978E-05	5.31246E-11	7.70301E+06	7.76397E+06	6.42232E+04	1.47051E+05	-5.14537E-05
-8.00000E+01	4.00013E+00	1.18606E-05	4.89898E-11	7.70301E+06	7.76397E+06	6.42232E+04	1.47051E+05	-5.14537E-05
-8.00000E+01	4.49999E+00	1.19217E-05	4.49691E-11	7.70301E+06	7.76397E+06	6.42232E+04	1.47051E+05	-5.14537E-05
-8.00000E+01	4.99990E+00	1.19820E-05	3.68179E-11	7.70301E+06	7.76397E+06	6.42232E+04	1.47051E+05	-5.14537E-05
-9.00000E+01	-2.67343E-06	1.21392E-05	1.59234E-10	7.73505E+06	7.77198E+06	2.05388E+04	1.60599E+04	-5.53203E-05
-9.00000E+01	4.99977E-01	1.22073E-05	1.22293E-10	7.73505E+06	7.77198E+06	2.05388E+04	1.60599E+04	-5.53203E-05
-9.00000E+01	9.99993E-01	1.22744E-05	4.02768E-11	7.73505E+06	7.77198E+06	2.05388E+04	1.60599E+04	-5.53203E-05
-9.00000E+01	1.49997E+00	1.23410E-05	1.14407E-10	7.73505E+06	7.77198E+06	2.05388E+04	1.60599E+04	-5.53203E-05
